username,created_at,full_text,cleaned_text,create_at
qynxml,2025-01-01 05:06:25,bahas PPN mulu bang😂,bahas ppn mulu bang,
wanx2510,2025-01-01 08:06:52,kocak lihat dulu PPN apa aja yg naik kocak,kocak lihat dulu ppn apa aja naik kocak,
_pinooorgil_,2025-01-01 08:34:58,ppn 12% gk jadi. coba liat vt gerindra,ppn 12 jadi coba liat vt gerindra,
rotimanis80,2025-01-01 11:20:11,"Permasalahannya dari dulu soal tapera segala macem kan di kepercayaan masyarakat ke pemerintah, asalkan transparan dan dananya jelas kemana, ppn 15% pun orang mau kalo jelas duitnya kemana",masalah dulu soal tapera segala macem kan percaya masyarakat perintah asal transparan dana jelas ppn 15 orang mau kalau jelas duit,
galangrajaiblis,2025-01-01 14:14:35,gw beli pulsa 120k yang masuk cmn 118k itu kena ppn atau gmn ya? gada notif berlangganan atau kesedot tuh,beli pulsa 120k masuk cmn 118k kena ppn bagaimana gada notif langgan sedot tuh,
jarothibread,2025-01-01 08:29:38,ppn naik = gaji harus naik,ppn naik gaji naik,
loyalwith1women,2025-01-01 11:52:43,bang katanya itu cuma buat barang mewah untuk yang lainya tidak di kenakan ppn itu informasi nya bener atau tidak aku dapat informasi dari content creator sebelah ?,bang kata cuma buat barang mewah yang lai di kena ppn informasi nya bener tidak aku informasi content creator belah,
gabut9500,2025-01-01 12:15:43,gw kira ppn 12% 120k🗿,kira ppn 12 120k,
ditzzxlynnn3,2025-01-01 05:39:59,"Pa Prabowo ngomong PPN untuk barang mewah, dan untuk makanan pokok masyarakat masih sama harganya, kenapa kopi deterjen kena ppn🗿",pa prabowo ngomong ppn barang mewah untuk makan pokok masyarakat sama harga kopi deterjen kena ppn,
anggasukiyama,2025-01-01 05:13:21,ppn 12% untuk barang mewah aja bang,ppn 12 barang mewah aja bang,
nunn_57,2025-01-01 05:43:56,udah di konfirmasi kenaikan PPn 12% itu untuk barang mewah ygy,udah konfirmasi naik ppn 12 untuk barang mewah ygy,
yz__reza,2025-01-01 07:19:03,ppn itu apa bg ?,ppn apa abang,
neyyagntng,2025-01-02 03:57:25,Estonia ppn:☠️,estonia ppn,
hhhh5_4,2025-01-01 06:10:57,klo ppn 12% gaji juga hrus naik 12%,klo ppn 12 gaji harus naik 12,
lan_del.rey00,2025-01-01 06:33:43,uang ppn nya buat sandra dewi🥰,uang ppn nya buat sandra dewi,
rizwansukabumi,2025-01-01 06:17:58,katanya gak jadi ppn 12 persen bang cuma barang mewah doang,kata tidak jadi ppn 12 persen bang cuma barang mewah doang,
kaisar_saa,2025-01-01 12:21:51,ppn 12% negara gakk maju majuu🗿,ppn 12 negara gakk maju majuu,
gali_3rd,2025-01-01 06:42:24,"Diamond ML Itu Barang Mewah Y,Kok Kena Ppn 12%",diamond ml barang mewah y kok kena ppn 12,
april_18hbd,2025-01-01 17:18:41,bang ppn 12% dibatalkan sama prabowo kan?,bang ppn 12 batal sama prabowo kan,
nndanevada,2025-01-01 10:10:11,"ini komen kenapa dah wkwk,dia cuma ngejelasin seberapa ngaruh ppn 12% karna ada yg komen padahal",komen deh wkwk cuma ngejelasin berapa ngaruh ppn 12 ada komen padahal,
prajabca,2025-01-01 07:08:58,"naik Rp 100 doang, jadi kalo biasanya kita ngabisin belanja bulanan 1jt, ppn 11% jadi Rp1.011.000 jadi belanja bulanan kita naik Rp 1.000 jadi Rp 1.012.000",naik rp 100 doang jadi kalau biasa ngabisin belanja bulan 1jt ppn 11 jadi rp1 011 000 jadi belanja bulan naik rp 1 000 jadi rp 1 012 000,
kakarowr7,2025-01-01 07:40:35,ppn buat d koruo,ppn buat koruo,
rifqirananta,2025-01-01 12:22:52,PPN 12% top up jadi mahal 🗿,ppn 12 top up jadi mahal,
jalotopjalotop,2025-01-02 07:02:17,bang kata ny gak jdi ppn naik,bang kata ny tidak jadi ppn naik,
dingwiliam,2025-01-01 05:10:29,bayangin ppn nambah 1% tiap tahun😂,bayangin ppn nambah 1 tiap tahun,
demxsdp,2025-01-01 22:24:04,jangan kan PPN 12%... ciki yg awalnya harganya 500 perak jadi 1000 aja gw Protes Ama pedagangnya masa naik 100% 😭,jangan kan ppn 12 cik awal harga 500 perak jadi 1000 aja protes ama dagang masa naik 100,
kuont01,2025-01-02 00:01:02,"ppn naik ke 12% cuman berlaku buat barang mewah, barang yang biasa kita beli harganya jadi naik mungkin karena lagi tahun baru",ppn naik 12 cuman laku buat barang mewah barang biasa beli harga jadi naik mungkin lagi tahun baru,
linaaplg,2025-01-01 11:13:51,"kalo beli kopi 10rb ppn 11% jadi 1100, klo ppn 12% jadi 1200",kalau beli kopi 10rb ppn 11 jadi 1100 klo ppn 12 jadi 1200,
mr82531,2025-01-01 06:27:50,"bro ini tidak update berita terbaru😂, cari tahu dulu bro apa saja yg kena ppn 12%😂",saudara laki tidak update berita baru cari tahu dulu saudara laki apa yang kena ppn 12,
birruu._,2025-01-01 07:18:59,bang bahas ppnbm yang naik 12%,bang bahas ppnbm naik 12,
akmal.siapa331,2025-01-01 07:14:12,bang emang bener ppn 12% di batal kan,bang emang bener ppn 12 batal kan,
sakura.fujimoto3,2025-01-01 09:25:14,PPN 12% pejabat otw hidup sejahtera,ppn 12 penjabat otw hidup sejahtera,
kakaye705,2025-01-01 06:10:15,udah paling pas pindah negara masih banyak di negara lain pajak nya kecil tapi penghasilan masi memungkin kan ini kita di Konoha gaji rata rata 3jt tapi ppn 12%kocak,udah paling pas pindah negara banyak negara pajak nya kecil penghasilan mas mungkin kan kita konoha gaji rata rata 3jt ppn12_persen kocak,
nvr.mnd_435,2025-01-01 06:44:33,"PPN gajadi naik 12% untuk semua barang bangg, kata pak presiden cuma buat barang mewah",ppn gajadi naik 12 semua barang bangg kata pak presiden cuma buat barang mewah,
mas_jahid,2025-01-03 03:13:59,gara gara ppn gk jadi top up🗿 gk tau deh top up game kena ppn apa enggak🗿,gara gara ppn jadi top up tau deh top up game kena ppn apa,
ihwan.syah2,2025-01-02 04:28:23,"kalo pengeluaran gw 1jt/bln, dan semua barang yang gw beli kena ppn 1% berarti pengeluaran gw cuma naik 10rb🤨 kan kecil bang. yah mngkn ppn naik ke12% GK JD tapi gw masih bingung ""sebesar apa dampaknya kalo jadi""",kalau keluar 1jt bulan semua barang beli kena ppn 1 arti keluar saya cuma naik 10rb kan kecil bang yah mngkn ppn naik ke12 jd saya bingung besar apa dampak kalau jadi,
hunter_siv,2025-01-01 21:06:30,top up game kena PPN 12% kena juga GK ya🥲,top up game kena ppn 12 kena tidak,
givanalinsky,2025-01-01 11:34:01,AYO BANG TETAP KAWAL PPN!!!,ayo bang tetap kawal ppn,
