conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1893466597462823358,Sun Feb 23 01:07:08 +0000 2025,1,Gue usul harga diturunin. Gue sadar nurunin harga itu lebih bijak daripada properti dibiarin nganggur. Gue dari 2022 ga pernah naikin harga produk entah itu ada isu resesi ppn 12% dll. Jgn nambahin beban orang dgn harga yg kita pasang kalo kita masih bisa makan 3x sehari,1893467597729128910,,babyportgas,in,she/her,0,1,0,https://x.com/babyportgas/status/1893467597729128910,66304699,babyportgas
1893274898501456286,Sat Feb 22 12:21:25 +0000 2025,0,skrng klo belanja mendi ke toserba njir drpd ke alfa ada ppn nya monyet,1893274898501456286,,,in,,0,0,0,https://x.com/imloffxr/status/1893274898501456286,1754675576693198848,imloffxr
1892407357008756853,Thu Feb 20 12:43:56 +0000 2025,0,@Uki23 Siapa bilang barang konsumsi tidak kena PPN? Pabriknya yg kena PPN lalu harga jual menjadi harga pokok yg disesuaikan dg tambahan PPN. Jadi yg bayar PPN tetap konsumen atau rakyat. Minyak goreng kecap saus bumbu2 kopi teh gula dan produk konsumtif lainnya. Mudheng po ora?,1892555788587077925,,Uki23,in,"Solo, Jawa Tengah",0,0,0,https://x.com/SyahrulDA2/status/1892555788587077925,1606288629629739011,SyahrulDA2
1892371102103396542,Thu Feb 20 00:30:07 +0000 2025,0,Kunjungan ini bertujuan untuk meninjau fasilitas yang tersedia di PPN Ternate dan melihat peluang investasi usaha bidang perikanan serta pendistribusian produk hasil perikanan di wilayah Provinsi Maluku Utara pada umumnya. https://t.co/0E8oWjWpJh,1892371116603363331,https://pbs.twimg.com/media/GkMNfuNWoAA74vb.jpg,PPNternate,in,"North Moluccas, Indonesia",0,0,0,https://x.com/PPNternate/status/1892371116603363331,741067959536259073,PPNternate
1892346523842961867,Wed Feb 19 22:52:24 +0000 2025,1,Kebijakan pajak pertambahan nilai ditanggung pemerintah (PPN DTP) sepertinya mengubah kinerja pengembang di Jawa Timur. Pengembang yang biasa meluncurkan proyek hunian kini fokus untuk menjual stok siap huni. Produk tersebut biasanya dipasarkan untuk konsumen generasi muda. PPN https://t.co/EaQ4AagcGm,1892346523842961867,https://pbs.twimg.com/media/GkL3IKWbUAIDdaQ.jpg,,in,Jakarta,0,0,0,https://x.com/jawapos/status/1892346523842961867,2392460208,jawapos
1890301334974525793,Mon Feb 17 10:48:10 +0000 2025,2,@AkuntanMilenial @shidqi_zain Jd lu bilang retail bayar PPN itu benar tp bukan serta merta cuma retail yg bayarin PPN konsumennya si konsumen pun bakal bayar PPN bakal bayar juga artinya harga jual produk bakal naik juga dari harga aslinya.,1891439490696142888,,waannn______,in,,0,0,0,https://x.com/waannn______/status/1891439490696142888,1329896585849761792,waannn______
1891074364369461542,Sun Feb 16 10:40:06 +0000 2025,0,ada bapak bapak yang bertanya tanya sekarang belanja beginian juga ada PPN nya? Beliau ngga tahu kalau PPN itu sudah ada sejak lama harga yang kita beli sekarang itu dari produk produk sehari hari itu - kecuali sembako spt beras minyak goreng dah itu semuanya kena PPN.,1891075074481864747,,plbkinvestasi,in,"Jakarta, Indonesia",0,1,0,https://x.com/plbkinvestasi/status/1891075074481864747,1875920054522609665,plbkinvestasi
1889593936710185319,Wed Feb 12 08:34:36 +0000 2025,0,Barang mewah yang dikenakan PPN 12% akan menghadapi risiko dikenai pajak ganda jika PPnBM juga berlaku. Hal ini akan meningkatkan harga barang secara signifikan yang tak hanya mengurangi konsumsi tetapi juga memengaruhi daya saing produk dalam negeri. https://t.co/eijtwngbWx,1889593936710185319,,,in,"Denpasar, Bali",0,0,0,https://x.com/kuterculik/status/1889593936710185319,72179055,kuterculik
1888228331902116144,Sun Feb 09 12:18:36 +0000 2025,0,@irwndfrry PPN barang mewah yang naik bikin parno. Undang Raline Shah deh dia sering banget pakai produk lokal di acara besar pasti bisa kasih pandangan menarik.,1888563144194449871,,irwndfrry,in,Indonesia,0,0,0,https://x.com/kritxik/status/1888563144194449871,2997433056,kritxik
1887727593614688603,Fri Feb 07 05:11:48 +0000 2025,0,@huaakiyowo Untuk saat ini PPN atau Pajak Pertambahan Nilai produk dan layanan IndiHome tidak mengalami perubahan namun ada penyesuaian pada tampilan invoice dan faktur pajak mulai 1 Januari 2025. DM-nya udah diterima ya. Mohon tunggu konfirmasi selanjutnya via DM. Makasih -Emmy,1887730960948732313,,huaakiyowo,in,Indonesia,0,1,0,https://x.com/IndiHomeCare/status/1887730960948732313,765035200896118789,IndiHomeCare
