created_at,username,full_text,cleaned_text
Sun Feb 23 01:07:08 +0000 2025,babyportgas,Gue usul harga diturunin. Gue sadar nurunin harga itu lebih bijak daripada properti dibiarin nganggur. Gue dari 2022 ga pernah naikin harga produk entah itu ada isu resesi ppn 12% dll. Jgn nambahin beban orang dgn harga yg kita pasang kalo kita masih bisa makan 3x sehari,gue usul harga diturunin gue sadar nurunin harga lebih kebijakan properti dibiarin nganggur gue 2022 tidak pernah naikin harga produk entah ada isu resesi ppn 12 lain jgn nambahin beban orang harga pasang kalau kita masih makan 3x hari
Sat Feb 22 12:21:25 +0000 2025,imloffxr,skrng klo belanja mendi ke toserba njir drpd ke alfa ada ppn nya monyet,sekarang klo belanja mendi toserba njir ke alfa ppn nya monyet
Thu Feb 20 12:43:56 +0000 2025,SyahrulDA2,@Uki23 Siapa bilang barang konsumsi tidak kena PPN? Pabriknya yg kena PPN lalu harga jual menjadi harga pokok yg disesuaikan dg tambahan PPN. Jadi yg bayar PPN tetap konsumen atau rakyat. Minyak goreng kecap saus bumbu2 kopi teh gula dan produk konsumtif lainnya. Mudheng po ora?,siapa bilang barang konsumsi kena ppn pabrik kena ppn lalu harga jual jadi harga pokok sesuai dg tambah ppn jadi bayar ppn tetap konsumen rakyat minyak goreng kecap saus bumbu2 kopi teh gula produk konsumtif lain mudheng po ora
Thu Feb 20 00:30:07 +0000 2025,PPNternate,Kunjungan ini bertujuan untuk meninjau fasilitas yang tersedia di PPN Ternate dan melihat peluang investasi usaha bidang perikanan serta pendistribusian produk hasil perikanan di wilayah Provinsi Maluku Utara pada umumnya. https://t.co/0E8oWjWpJh,kunjung tuju tinjau fasilitas sedia ppn ternate lihat peluang investasi usaha bidang ikan distribusi produk hasil ikan wilayah provinsi malu utara umum
Wed Feb 19 22:52:24 +0000 2025,jawapos,Kebijakan pajak pertambahan nilai ditanggung pemerintah (PPN DTP) sepertinya mengubah kinerja pengembang di Jawa Timur. Pengembang yang biasa meluncurkan proyek hunian kini fokus untuk menjual stok siap huni. Produk tersebut biasanya dipasarkan untuk konsumen generasi muda. PPN https://t.co/EaQ4AagcGm,kebijakan pajak tambah nilai tanggung perintah ppn dtp seperti ubah kerja kembang jawa timur kembang biasa luncur proyek huni kini fokus jual stok siap huni produk sebut biasa pasar konsumen generasi muda ppn
Mon Feb 17 10:48:10 +0000 2025,waannn______,@AkuntanMilenial @shidqi_zain Jd lu bilang retail bayar PPN itu benar tp bukan serta merta cuma retail yg bayarin PPN konsumennya si konsumen pun bakal bayar PPN bakal bayar juga artinya harga jual produk bakal naik juga dari harga aslinya.,jd lu bilang retail bayar ppn benar tp bukan merta cuma retail bayarin ppn konsumen si konsumen bakal bayar ppn bakal bayar arti harga jual produk bakal naik dari harga asli
Sun Feb 16 10:40:06 +0000 2025,plbkinvestasi,ada bapak bapak yang bertanya tanya sekarang belanja beginian juga ada PPN nya? Beliau ngga tahu kalau PPN itu sudah ada sejak lama harga yang kita beli sekarang itu dari produk produk sehari hari itu - kecuali sembako spt beras minyak goreng dah itu semuanya kena PPN.,bapak bapak tanya tanya sekarang belanja begini ppn nya beliau tidak tahu kalau ppn sudah ada sejak lama harga kita beli sekarang dari produk produk hari hari kecuali sembako spt beras minyak goreng deh semua kena ppn
Wed Feb 12 08:34:36 +0000 2025,kuterculik,Barang mewah yang dikenakan PPN 12% akan menghadapi risiko dikenai pajak ganda jika PPnBM juga berlaku. Hal ini akan meningkatkan harga barang secara signifikan yang tak hanya mengurangi konsumsi tetapi juga memengaruhi daya saing produk dalam negeri. https://t.co/eijtwngbWx,barang mewah kena ppn 12 hadap risiko kena pajak ganda ppnbm laku ini tingkat harga barang signifikan tak kurang konsumsi juga pengaruh daya saing produk negeri
Sun Feb 09 12:18:36 +0000 2025,kritxik,@irwndfrry PPN barang mewah yang naik bikin parno. Undang Raline Shah deh dia sering banget pakai produk lokal di acara besar pasti bisa kasih pandangan menarik.,ppn barang mewah naik bikin parno undang raline shah deh sering banget pakai produk lokal acara besar bisa kasih pandang tarik
Fri Feb 07 05:11:48 +0000 2025,IndiHomeCare,@huaakiyowo Untuk saat ini PPN atau Pajak Pertambahan Nilai produk dan layanan IndiHome tidak mengalami perubahan namun ada penyesuaian pada tampilan invoice dan faktur pajak mulai 1 Januari 2025. DM-nya udah diterima ya. Mohon tunggu konfirmasi selanjutnya via DM. Makasih -Emmy,saat ppn pajak tambah nilai produk layanan indihome alami ubah ada sesuai tampil invoice faktur pajak mulai 1 januari 2025 dm nya udah terima mohon tunggu konfirmasi lanjut via dm makasih emmy
Wed Feb 05 14:02:10 +0000 2025,opetpasipasip,Dampak kenaikan PPN 12% Dampak Perekonomian: Peningkatan Penerimaan Negara: Pemerintah menyatakan dari kenaikan tarif PPN untuk barang dan jasa mewah akan meningkatkan penerimaan negara Dorongan Produk Lokal: Kebijakan tarif baru PPN ini juga dinilai akan meningkat,dampak naik ppn 12 dampak ekonomi tingkat terima negara perintah nyata naik tarif ppn barang jasa mewah tingkat terima negara dorong produk lokal kebijakan tarif baru ppn juga nilai tingkat
Thu Jan 23 14:26:58 +0000 2025,HusnaDyah,@jichangminshine Udah ngetik nama produk ngitung harga per pcs nya.. Belum lagi dikurangi potongan.. Terus dikurangi lagi ppn .. Mumeeettt,udah ngetik nama produk ngitung harga per pcs nya rang potong terus rang lagi ppn mumeeettt
Thu Jan 23 08:08:01 +0000 2025,ciecie_ambis,@kring_pajak min kalau desember 2024 ada faktur pajak masukan produk dari LN dari sini nah tpi ga muncul di prepopulated min itu di tulis manual aja min dimana min?trs untuk pembayaran ppn nya ebilling nya dipisah atau di gabung dengan pembelian yg lain? kodenya smaa min? https://t.co/9ecgP0912N,min kalau desember 2024 faktur pajak masuk produk ln sini nah tpi tidak muncul prepopulated min di tulis manual aja min min terus bayar ppn nya ebilling nya pisah di gabung beli lain kode smaa min
Thu Jan 23 05:29:01 +0000 2025,xtxaxfxk,@swara1st @qxntolqu Indon produk kalian lagi sampah dari kami tu bukan produk kami tapi China indon lonte. Negara aja PPN 12% kok ngomel si indon ini.,indon produk kalian sampah tu bukan produk kami tapi china indon lonte negara aja ppn 12 kok ngomel si indon
Tue Jan 21 07:35:18 +0000 2025,halalindonesia_,Kepala BPJPH bertemu dengan Menteri PPN/Kepala Bappenas pagi tadi bahas soal pengembangan jaminan produk halal kedepan --- Pada kesempatan ini bahkan Menteri PPN/Kepala sebut Halal sebagai bentuk proteksi produk-produk dalam negeri... https://t.co/KA6952sMJ7,kepala bpjph temu menteri ppn kepala bappenas pagi tadi bahas soal kembang jamin produk halal depan sempat bahkan menteri ppn kepala sebut halal bentuk proteksi produk produk negeri
Tue Jan 21 00:59:22 +0000 2025,triindonesia,@DenmasRohiim @longjourney33 @tanyarlfes @Telkomsel Pagi kak Rohim. Perubahan masa aktif guna meningkatkan kualitas layanan sisi jaringan &amp; produk. Tentunya lebih stabil &amp; penggunaan lebih nyaman. Lalu harga sudah disesuaikan mekanisme penggunaan &amp; tidak berhubungan dengan PPN. Yuk pilih paket yang ada bima+ &amp; *888#. Thanks ^Fey,pagi kak rohim ubah masa aktif tingkat kualitas layanan sisi jaring amp produk tentu lebih stabil amp guna lebih nyaman lalu harga sesuai mekanisme guna amp hubung ppn yuk pilih paket ada bima amp 888 thanks fey
Mon Jan 20 22:51:36 +0000 2025,vaughn92828361,Apresiasi PPN 12 Persen Yang Tidak Menyasar 20 Produk Pertanian Dan Perikanan https://t.co/q2xIL874ag,apresiasi ppn 12 persen tidak sasar 20 produk tani ikan
Mon Jan 20 09:24:26 +0000 2025,aasikinn27,@politiknesiacom Fyi belanja di luar negeri beli produk yang tidak ada di produksi di Indonesia. Keliru jika anggap produk indo lebih mahal malahan produk luar negeri itu lebih mahal ada pajak BM ppn 12% pph 10% ppn impor 11% dll bukankah produk impor jd lebih mahal? @airlangga_hrt,informasi belanja luar negeri beli produk tidak produksi di indonesia keliru anggap produk indo lebih mahal malah produk luar negeri lebih mahal pajak bm ppn 12 pajak_penghasilan 10 ppn impor 11 lain bukankah produk impor jd lebih mahal
Sun Jan 19 10:45:02 +0000 2025,finansiologi,Contoh kasus kopi 80ribu disindir banyak orang tapi sekarang jualan kelas crypto nya kenceng Kasus 2 ex manager adidas di us yg sempet blunder bahas ppn 12% impact ke produk jualan budhal nya Ada yg punya info lebih jauh?,contoh kasus kopi 80ribu sindir banyak orang sekarang jual kelas crypto nya kenceng kasus 2 mantan manager adidas us sempet blunder bahas ppn 12 impact produk jual budhal nya yang punya info lebih jauh
Sun Jan 19 05:39:02 +0000 2025,Varnando0oo0,Tak perlu khawatir! PPN 12% hanya untuk produk mewah. Barang kebutuhan sehari-hari tetap aman dan terjangkau #PPN #IndonesiaEmas2045 https://t.co/63Lhq2gaO2,tak perlu khawatir ppn 12 untuk produk mewah barang butuh hari hari tetap aman terjangkau
Sun Jan 19 05:18:54 +0000 2025,SanjayKusnaidi,Tak perlu khawatir! PPN 12% hanya untuk produk mewah. Barang kebutuhan sehari-hari tetap aman dan terjangkau #PPN #IndonesiaEmas2045 https://t.co/PZmrxxMJIe,tak perlu khawatir ppn 12 untuk produk mewah barang butuh hari hari tetap aman terjangkau
Sat Jan 18 14:02:57 +0000 2025,Meme_Pemerintah,Penyesuaian PPN nggak hanya soal pajak tapi juga peluang besar buat UMKM Indonesia. Dengan penyesuaian yang lebih adil produk lokal bisa lebih bersaing harga jadi lebih kompetitif dan UMKM makin berkembang. #pajak #ppn #pajaknaik #pajak12persen #ppnnaik https://t.co/EqmoJOePj0,sesuai ppn hanya soal pajak juga peluang besar buat umkm indonesia sesuai lebih adil produk lokal lebih saing harga jadi lebih kompetitif umkm makin kembang
Sat Jan 18 13:44:40 +0000 2025,neuvillate,Penyesuaian PPN nggak hanya soal pajak tapi juga peluang besar buat UMKM Indonesia. Dengan penyesuaian yang lebih adil produk lokal bisa lebih bersaing harga jadi lebih kompetitif dan UMKM makin berkembang. #pajak #ppn #pajaknaik #pajak12persen #ppnnaik https://t.co/DOZuk1LCvi,sesuai ppn hanya soal pajak juga peluang besar buat umkm indonesia sesuai lebih adil produk lokal lebih saing harga jadi lebih kompetitif umkm makin kembang
Sat Jan 18 13:44:32 +0000 2025,ChristiAgui789,Penyesuaian PPN nggak hanya soal pajak tapi juga peluang besar buat UMKM Indonesia. Dengan penyesuaian yang lebih adil produk lokal bisa lebih bersaing harga jadi lebih kompetitif dan UMKM makin berkembang. #pajak #ppn #pajaknaik #pajak12persen #ppnnaik https://t.co/QRg8LNEWSz,sesuai ppn hanya soal pajak juga peluang besar buat umkm indonesia sesuai lebih adil produk lokal lebih saing harga jadi lebih kompetitif umkm makin kembang
Sat Jan 18 11:23:48 +0000 2025,PatriaReppi,Bener banget. Aku ngeluh ppn aja bilangnya kaya kamu udah kerja aja. Kita orang kecil ga bakal kena. Lah Padahal kontribusi aku ke negara adalah jajan mulu tiap hari baik itu produk lokal umkm mini/super market pasar atau impor,bener banget aku ngeluh ppn aja bilang kaya kamu udah kerja aja orang kecil tidak bakal kena lah padahal kontribusi aku negara jajan mulu tiap hari baik produk lokal umkm mini super market pasar impor
Sat Jan 18 11:06:10 +0000 2025,Zay34562,Tak perlu khawatir! PPN 12% hanya untuk produk mewah. Barang kebutuhan sehari-hari tetap aman dan terjangkau #PPN #IndonesiaEmas2045 https://t.co/d0oqUoXTkj,tak perlu khawatir ppn 12 untuk produk mewah barang butuh hari hari tetap aman terjangkau
Sat Jan 18 11:04:38 +0000 2025,CokissForYou,Tak perlu khawatir! PPN 12% hanya untuk produk mewah. Barang kebutuhan sehari-hari tetap aman dan terjangkau #PPN #IndonesiaEmas2045 https://t.co/vYJ4P4ZUq4,tak perlu khawatir ppn 12 untuk produk mewah barang butuh hari hari tetap aman terjangkau
