uniqueId,createTimeISO,text
orpolarbear,2025-01-04T11:29:27.000Z,"ya gimana ya, koreksi ppn aja mepet banget di akhir bulan desember. banyak perusahaan yg terlanjur set 12%, eh dikoreksi lagi jadi 11/12, ya gak mungkin kalo pas tgl 1 januari langsung balik 11🗿"
aa__jkt89,2025-01-04T11:20:24.000Z,indosat min uda minta aja ppn 12% padahal masi desember 2024
liecinyang,2025-01-04T15:26:28.000Z,"PPn Uda naik buktinya sistem pajak Uda dibuat cortex Uda pilih 11/12 persen.
gak naik secara lisan tp sistem pajak Uda naik"
wiwindut456,2025-01-04T16:04:21.000Z,belanja bulanan struk tulisannya PPN 11% tapi harga barangnya naik hmm
user2dhrs6rl6j,2025-01-04T12:23:36.000Z,"benar terjadi, tadi siang beli soto betawi lewat gofood, ternyata dikenakan ppn 12%. terus mengembalikan lewat apa, emang tahu siapa saja yg beli soto ?🤪🤪🤪"
carolinecherlyyyy,2025-01-05T08:48:15.000Z,"lagian sistem lama masih bagus knp diganti dengan sistem canggih yg katanya lebih gampang dan efisien. kok pas praktek malah pusink sm sistemnya😭, muter2 gara2 ppn batal naik hadehh"
ss781754,2025-01-06T05:21:25.000Z,semua kena pajak ppn 12 % cabai gula beras sembako semua naik
mohammad_reza26,2025-01-04T13:54:35.000Z,cba di cek juga di distributor kyknya menaikan ppn jga
isengeugmo3,2025-01-05T02:48:56.000Z,"di kembalikan..
bikin kerjaan, knp ppn yg tidak sesuai pada ranah nya langsung di stop aja. 😌"
blaxxus,2025-01-04T10:50:42.000Z,"aq beli brownis saja kena ppn 12%, dah cukup sekali beli"
udahlahkalaugitu,2025-01-04T12:45:15.000Z,"PPN non barang mewah tetap 12%, yg berbeda adalah cara perhitungan DPPnya"
blurrr090,2025-01-04T11:00:42.000Z,"Tarif memang berubah 12% agar tidak melanggar undang2, tetapi dpp pakai dpp nilai lain. jadi tetap pajak ppn 11%.
tetapi perhitungan ini sampai kapan????"
ayolakubeautyshop,2025-01-04T13:37:04.000Z,sdh kuduga krna membingungkan padahal kan jg udah ada ya PPNbm
dede.paramitha,2025-01-05T13:27:40.000Z,"@metro_tv baru saja sy beli baju di depstore Matahari, kena ppn 11%."
majide8883,2025-01-04T18:09:13.000Z,"sengaja di umumin mepet pdhl pengusaha,finance dll udh settle penyesuaian harga. intinya pemerintah seolah berpihak rakyat pdhl ppn 12% jln terus🤣"
hendraramdhani30,2025-01-04T10:25:16.000Z,PPN 11 persen saja sudah tidak manusiawi !
lawet,2025-01-04T09:03:40.000Z,"dimana2 ya udh ada isu 12% nih, para IT perusahaan udh siap mengupgrade sistem nya naikin dri 11% ke 12%, tiba2 nih MALAM TAHUN BARU di tunda kenaikan PPN, emang dikira sejam 2 jam kelar itu nyesuaiin sistemnya lagi :') contoh ni ya top up game yg lgi rame tuh"
rrezaditya,2025-01-04T08:34:43.000Z,"PPN 12 persen tanggung 50 persen
biar sengsara masyarakat👥👥👥"
meidikasaman,2025-01-05T17:53:34.000Z,mari rakyat indonesia stop belanja ditoko retail di seluruh indonesia karena ppn 12 % sdh berlaku & sangat membebani konsumen
davi_permana,2025-01-04T12:42:14.000Z,"😂hayoloh yg ngeyel ppn barang bukan mewah, jadinya siapa"
nonamea69,2025-01-04T10:14:30.000Z,toko ritel aja kena ppn 11%😂😂@Cak Armuji
