"uniqueId","createTimeISO","text"
"ahmadrochim868","2025-01-04T08:49:12.000Z","ok gas ok gas"
"sugargliderbalikpapan","2025-01-06T00:40:14.000Z","the real omon²"
"ankara_606","2025-01-04T08:12:43.000Z","ini yg di takuti dari kemaren, teori sama lapangan bisa beda 🤣"
"orpolarbear","2025-01-04T11:29:27.000Z","ya gimana ya, koreksi ppn aja mepet banget di akhir bulan desember. banyak perusahaan yg terlanjur set 12%, eh dikoreksi lagi jadi 11/12, ya gak mungkin kalo pas tgl 1 januari langsung balik 11🗿"
"aa__jkt89","2025-01-04T11:20:24.000Z","indosat min uda minta aja ppn 12% padahal masi desember 2024"
"muhlis.muhlis802","2025-01-04T07:04:26.000Z","😂😂😂lain dmulut lain dpkiran"
"liecinyang","2025-01-04T15:26:28.000Z","PPn Uda naik buktinya sistem pajak Uda dibuat cortex Uda pilih 11/12 persen.
gak naik secara lisan tp sistem pajak Uda naik"
"moronisti","2025-01-04T07:35:00.000Z","dikembalikan ke konsumen???? masa????? bisa gitu reman2 pajak rela ngembaliin duit japremnya?"
"coconyuttt","2025-01-04T07:08:41.000Z","Btw Metro tv pake keranjang kuning😭🙏"
"bimobimoprabowo","2025-01-04T09:14:15.000Z","😅😂AMPUH BANGET YG NAMANYA VIRAL😂😅"
"wiwindut456","2025-01-04T16:04:21.000Z","belanja bulanan struk tulisannya PPN 11% tapi harga barangnya naik hmm"
"villain9999900","2025-01-04T10:46:23.000Z","terus klo makan seperti RICHEESE,AW atau MCD pasti kena 12% itu"
"netizenplusss62","2025-01-04T09:10:41.000Z","pulsa aja bisa naik yang 10 rb dijual 13 rb ini gmn ceritanya ?"
"nastarapel","2025-01-04T10:49:29.000Z","ayam juga jadi naik nih di pasar"
"sall423123","2025-01-05T11:22:24.000Z","gimana balikinnya ? lha org2 yg beli banyak , kan kg ada nama , alamat dll saat beli"
"dirga.21_ibu","2025-01-05T22:46:47.000Z","emang klen tau konsumennya siapa aj 😂😂😂😂😂😂"
"a...mahmud","2025-01-04T15:49:13.000Z","harga santan kara udah naik. ternyata masuk kelompok barang mewah"
"inceara","2025-01-05T13:01:39.000Z","emang percaya sama janji penguasa"
"cak_in09","2025-01-05T21:51:46.000Z","terlanjur banyak yg memberlakukan kenaikan"
"user2dhrs6rl6j","2025-01-04T12:23:36.000Z","benar terjadi, tadi siang beli soto betawi lewat gofood, ternyata dikenakan ppn 12%. terus mengembalikan lewat apa, emang tahu siapa saja yg beli soto ?🤪🤪🤪"
"amin_syauqin","2025-01-04T10:01:17.000Z","dalam bentuk permen..
barang mewah contohnya::
air sumur import Swiss
kelor import Jepang
apel Fuji import Jepang
sandal import brazil"
"yocinbatubara1","2025-01-06T12:15:52.000Z","gimana gk naek lah dia ngangkut nya pakai angkutan smentara truck masuk barang mwah"
