uniqueId,createTimeISO,text
qynxml,2025-01-01T05:06:25.000Z,bahas PPN mulu bang😂
wanx2510,2025-01-01T08:06:52.000Z,kocak lihat dulu PPN apa aja yg naik kocak
_pinooorgil_,2025-01-01T08:34:58.000Z,ppn 12% gk jadi. coba liat vt gerindra
rotimanis80,2025-01-01T11:20:11.000Z,"Permasalahannya dari dulu soal tapera segala macem kan di kepercayaan masyarakat ke pemerintah, asalkan transparan dan dananya jelas kemana, ppn 15% pun orang mau kalo jelas duitnya kemana"
galangrajaiblis,2025-01-01T14:14:35.000Z,gw beli pulsa 120k yang masuk cmn 118k itu kena ppn atau gmn ya? gada notif berlangganan atau kesedot tuh
jarothibread,2025-01-01T08:29:38.000Z,ppn naik = gaji harus naik
loyalwith1women,2025-01-01T11:52:43.000Z,bang katanya itu cuma buat barang mewah untuk yang lainya tidak di kenakan ppn itu informasi nya bener atau tidak aku dapat informasi dari content creator sebelah ?
gabut9500,2025-01-01T12:15:43.000Z,gw kira ppn 12% 120k🗿
ditzzxlynnn3,2025-01-01T05:39:59.000Z,"Pa Prabowo ngomong PPN untuk barang mewah, dan untuk makanan pokok masyarakat masih sama harganya, kenapa kopi deterjen kena ppn🗿"
anggasukiyama,2025-01-01T05:13:21.000Z,ppn 12% untuk barang mewah aja bang
nunn_57,2025-01-01T05:43:56.000Z,udah di konfirmasi kenaikan PPn 12% itu untuk barang mewah ygy
yz__reza,2025-01-01T07:19:03.000Z,ppn itu apa bg ?
neyyagntng,2025-01-02T03:57:25.000Z,Estonia ppn:☠️
hhhh5_4,2025-01-01T06:10:57.000Z,klo ppn 12% gaji juga hrus naik 12%
lan_del.rey00,2025-01-01T06:33:43.000Z,uang ppn nya buat sandra dewi🥰
rizwansukabumi,2025-01-01T06:17:58.000Z,katanya gak jadi ppn 12 persen bang cuma barang mewah doang
kaisar_saa,2025-01-01T12:21:51.000Z,ppn 12% negara gakk maju majuu🗿
gali_3rd,2025-01-01T06:42:24.000Z,"Diamond ML Itu Barang Mewah Y,Kok Kena Ppn 12%"
april_18hbd,2025-01-01T17:18:41.000Z,bang ppn 12% dibatalkan sama prabowo kan?
nndanevada,2025-01-01T10:10:11.000Z,"ini komen kenapa dah wkwk,dia cuma ngejelasin seberapa ngaruh ppn 12% karna ada yg komen padahal"
prajabca,2025-01-01T07:08:58.000Z,"naik Rp 100 doang, jadi kalo biasanya kita ngabisin belanja bulanan 1jt, ppn 11% jadi Rp1.011.000 jadi belanja bulanan kita naik Rp 1.000 jadi Rp 1.012.000"
kakarowr7,2025-01-01T07:40:35.000Z,ppn buat d koruo
rifqirananta,2025-01-01T12:22:52.000Z,PPN 12% top up jadi mahal 🗿
